company,brand_name,country,product_category,contact_name,email_address,address,license_number,pdf,certification_body,expiry_date,product_details
A.F. CLOTHING,,Pakistan (PK),"Ladieswear, Men's wear",,,"21-KM Ferozepur Road Rohi Nala Shami Street Lahore, 54600, Punjab",USB 004248,,USB Certification,12/22/2024,"Pantscardigans (PD0004) - 100% organic cotton (RM0104)pulloverssinglets (PD0007) - 100% organic cotton (RM0104)
Sweaterstrousers (PD0003) - 100% organic cotton (RM0104)
T-shirts"
"A.Fiúza & Irmão, Lda",,Portugal (PT),Socks,,,"Rua do Loteamento da Tomadia S/N, Rio Côvo Santa Eugénia Barcelos, 4755-461, Braga",150482,,Intertek Testing Services,12/13/2024,Sockshosiery
A.G International,,"India (IN), Tamil Nadu","Fabrics, Yarns",Mr. Gaurav Sadh,mailto:aginternational.ed@gmail.com,"48/4, Armuga Street Kas Nagar Karungalpalayam, 638003, Erode",CU 1022187,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/28455?task=download_certificate,Control Union Certifications,10/6/2024,"Dyed fabrics (PC0025) Woven fabrics (PD0059) -100.0% Organic Cotton (RM0104) 
Greige fabrics (PC0026) Woven fabrics (PD0059) -100.0% Organic Cotton (RM0104)
Greige yarns (PC0030) Normally combed yarns (PD0102) -100.0% Organic Cotton (RM0104)"
A.G. LAMBRUGO & FIGLI SRL,,Italy (IT),Fabrics,Stefano Lambrugo,mailto:STE.LAMBRUGO@GMAIL.COM,"Via Xx Settembre 38, Como, 22100, CO",ICEA-TX-1490,,ICEA Istituto per la Certificazione Etica e Ambientale,11/28/2024,Dyed fabrics (PC0025)
A.G.C. SRL,,Italy (IT),Product category (other),Irne Ghizzoni,mailto:irene@agcsrl.com,"VIA PINTOR, 15, CARPI, 41012, MO",ICEA-TX-1624,,ICEA Istituto per la Certificazione Etica e Ambientale,5/22/2024,Carried accessories (PC0011)Functional accessories (PC0017)
A.G.M. DI ACCIAIOLI E C. SRL,,Italy (IT),Fabrics,,mailto:agm@agmtex.it,"VIA DELL'INDUSTRIA 78, 59013, MONTEMURLO",1110381,,Control Union Certifications,7/20/2024,Dyed fabrics (PC0025) Woven fabrics (PD0059) 100.0%Organic Cotton (RM0104)
A.M. EXPO FAB,,"India (IN), Tamil Nadu","Fabrics, Yarns",M. Sethuraman,mailto:amsethuraman@gmail.com,"11D/C, 12TH CROSS, VIVEKANANDA NAGAR, SENGUNTHAPURAM POST, 639002, KARUR",EGL/228993,,Ecocert Greenlife,9/30/2024,Carded Yarn (PD0067)- 100% Organic Cotton (RM0104)Open-end yarns (PD0066)- 100% Organic Cotton (RM0104)
A.Q TEXTILES (PVT) LTD,,Pakistan (PK),Accessories,,,"APPARTMENT NO 3/4 ST NO 1, 2ND FLOOR REHMAN CENTER, YARN MARKET MONTGOMERY BAZAR, Faisalabad Lyallpur Town, 38400, Faisalabad",USB TEX2037,,USB Certification,3/15/2024,Bagshandbagspouches (PD0024) 100% organic cotton (RM0104)totes
A.R Apparels (Pvt) Ltd.,,Pakistan (PK),Garments,,mailto:bilal@artapparels.com,"R.B 200, Gutwala Lathianwala Road, opposite Al-Aziz Packages,",1099199,,Control Union Certifications,3/14/2024,"Unisex apparel (PC0005) Overcoatsjacketstrousers (PD0003) 100.0%Organic Cotton (RM0104)vests (PD0001) 100.0%Organic Cotton (RM0104) 
Unisex apparel (PC0005) Pants"
A.R. EXPORTS,,"India (IN), Uttar Pradesh",Fabrics,Mr.Tushar Jinsal,mailto:ar_exports@yahoo.com,"C-44, Sector 6, 201301, Noida",276533,,Ecocert Greenlife,3/5/2024,10%Flax (RM0108)15%Flax (RM0108)2%Elastane (RM0160)20%Flax (RM0108)25%Flax (RM0108)3%Elastane (RM0160)30%Flax (RM0108)5%Elastane (RM0160)5%Flax (RM0108)7%Elastane (RM0160)Greige fabrics (PC0026)- Woven fabrics (PD0059)-  85% Organic Cotton (RM0104)Greige fabrics (PC0026)- Woven fabrics (PD0059)-  90% Organic Cotton (RM0104)Greige fabrics (PC0026)- Woven fabrics (PD0059)-  95% Organic Cotton (RM0104)Greige fabrics (PC0026)- Woven fabrics (PD0059)-  95% Organic Cotton (RM0104)Greige fabrics (PC0026)- Woven fabrics (PD0059)-  97% Organic Cotton (RM0104)Greige fabrics (PC0026)- Woven fabrics (PD0059)-  98% Organic Cotton (RM0104)Greige fabrics (PC0026)- Woven fabrics (PD0059)- 100% Organic Cotton (RM0104)Greige fabrics (PC0026)- Woven fabrics (PD0059)- 70% Organic Cotton (RM0104)Greige fabrics (PC0026)- Woven fabrics (PD0059)- 75% Organic Cotton (RM0104)Greige fabrics (PC0026)- Woven fabrics (PD0059)- 80% Organic Cotton (RM0104)Greige fabrics (PC0026)- Woven fabrics (PD0059)- 93% Organic Cotton (RM0104)
A.R.M. Texttiles,,"India (IN), Tamil Nadu","Accessories, Fabrics, Garments, Home Textiles",Mr. Raajesh Singaravel,mailto:arm@armtex.in,"Survey No.: T.S. No. 23/3, Door No. / Plot No.: 9D/15,, Ramakrishnapuram North, Ramakrishnapuram, Karur Taluk,, 639001, Karur",CU 1139778,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35601?task=download_certificate,Control Union Certifications,10/24/2024,"Home textiles (PC0010) Towelsbed sheets (PD0015) -100.0% Organic Cotton (RM0104)
Home textiles (PC0010) Pillowscushions (PD0023) -100.0% Organic Cotton (RM0104)
Home textiles (PC0010) Table linenhandbagskitchen linennapkins (PD0016) -100.0% Organic Cotton (RM0104)pouches (PD0024) -100.0% Organic Cotton (RM0104)
Dyed fabrics (PC0025) Woven fabrics (PD0059) -100.0% Organic Cotton (RM0104)
Greige fabrics (PC0026) Woven fabrics (PD0059) -100.0% Organic Cotton (RM0104)
Home textiles (PC0010) Bed linentableclothtoilet linen (PD0017) -100.0% Organic Cotton (RM0104)
Babies' apparel (PC0003) Babies' clothing (PD0013) -100.0% Organic Cotton (RM0104)
Carried accessories(PC0011)Bagstotes"
A.S.K.HOMETEX,,"India (IN), Tamil Nadu","Accessories, Home Textiles",,,"D.No: 123 N, Phoenix Tower, Annai Indira Salai, Pugalur Road, Atlas Tex Street, 639001, Karur",USB 004291,,USB Certification,1/24/2025,"Bagsbed sheets (PD0015) - 100% organic cotton (RM0104)
Glovesbed sheets (PD0015) - 85% organic cotton (RM0104) + 15% recycled pre/post-consumer polyester (RM0187)
Table linenblinds (PD0020) - 100% organic cotton (RM0104)
Bagsblinds (PD0020) - 85% organic cotton (RM0104) + 15% recycled pre/post-consumer polyester (RM0187)
Carpetsfloor coverings (PD0022) - 100% organic cotton (RM0104)
Bed linenfloor coverings (PD0022) - 85% organic cotton (RM0104) + 15% recycled pre/post-consumer polyester (RM0187)
Gloveshand covering (PD0026) - 100% organic cotton (RM0104)
Towelshand covering (PD0026) - 85% organic cotton (RM0104) + 15% recycled pre/post-consumer polyester (RM0187)
Carpetshandbagshandbagskitchen linenkitchen linenmittensmittensnapkins (PD0016) - 100% organic cotton (RM0104)napkins (PD0016) - 85% organic cotton (RM0104) + 15% recycled pre/post-consumer polyester (RM0187)
Towelspouches (PD0024) - 100% organic cotton (RM0104)
Table linenpouches (PD0024) - 85% organic cotton (RM0104) + 15% recycled pre/post-consumer polyester (RM0187)
Bed linenrugsrugstableclothtableclothtoilet linen (PD0017) - 100% organic cotton (RM0104)
Curtainstoilet linen (PD0017) - 85% organic cotton (RM0104) + 15% recycled pre/post-consumer polyester (RM0187)
Curtainstotestotes"
A.V. CREATIONS,,"India (IN), Gujarat",Fabrics,,,"Shop No- 2004, Vikas Logistic Park, KUMBHARIYA, 395010, Surat,",231279,,Intertek Testing Services,10/19/2024,
A/S Vest-tex Mayflower,,Denmark (DK),Yarns,,,"Erhvervsparken 22, 9700,, Brønderslev",1185986,,Control Union Certifications,11/23/2024,
a&n&a GmbH & Co. KG,,Germany (DE),Home Textiles,Sarah Wolf,mailto:sarah.wolf@ana-aqualine.de,"Benzstraße 12, 35799, Merenberg",269122,,Ecocert Greenlife,10/11/2024,100% Organic Cotton (RM0104)Home Textiles (PC0010)Towelskitchen linentoilet linen (PD0017)
A1 COTTON NET FABRIC,,"India (IN), Tamil Nadu",Fabrics,,,"1/386, THANGAVEL COMPOUND, ERODE MAIN ROAD, AUTHUR PIRIVU, AATHUR, 639 002, KARUR,",223448,,Intertek Testing Services,3/15/2024,
A1 COTTON NET FABRIC,,"India (IN), Tamil Nadu",Fabrics,,,"1/386, THANGAVEL COMPOUND, ERODE MAIN ROAD, AUTHUR PIRIVU, AATHUR, 639002, KARUR,",223448,,Intertek Testing Services,3/15/2024,"Dyed fabrics | PC0025
Greige fabrics | PC0026
Undyed fabrics | PC0027"
"A1 Home Collections LLC, DBA DELARA",,"United States (US), Florida","Home Textiles, Product category (other)",,mailto:akshaybahl@a1homecollections.com,"6801 114th Avenue North Unit C Largo, 33773",11010,,IDFL,6/18/2024,"Product category (other) -  Bedding (PC0015)

Bedding (PC0015) Mattresses (PD0034) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Bed Linen (PD0015) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Bed Sheets (PD0015) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Bedspreads (PD0019) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Blankets (PD0019) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Curtains (PD0020) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Cushions (PD0023) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Napkins (PD0016) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Pillows (PD0023) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Quilts (PD0019) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Table Linen (PD0016) Organic Cotton (RM0104) GOTS
(Organic)
21427
Home Textiles (PC0010) Towels (PD0017) Organic Cotton (RM0104) GOTS
(Organic)
21427"
AA CANVAS COMPANY,,"India (IN), Delhi","Fabrics, Product category (other)",ASHOK KUMAR,mailto:ashok@aacanvas.co,"177-A, Azad Market, 110006, DELHI",217155,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44043?task=download_certificate,Ecocert Greenlife,12/31/2024,BagsWoven Fabrics (PD0059)handbagspouches (PD0024)totes
AA Coarse Spun Limited,,"Bangladesh (BD), Dhaka",Yarns,,,"Sreepur, Nagar Howla",197235,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40399?task=download_certificate,Intertek Testing Services,2/18/2024,"Carded yarns | PD0067
Open-end yarns | PD0066"
AA Yarn Mills Ltd,,"Bangladesh (BD), Dhaka","Raw Fibres, Yarns",,,"Nagar Howla, Sreepur",CB-GOTS-CUC-03- 896217,,Control Union Certifications,7/26/2024,"Greige yarns (PC0030) / Carded yarns (PD0067) - 100% Organic Cotton (RM0104)		
Undyed fibers (PC0034) / Lint cotton (PD0074) - 100% Organic Cotton (RM0104)"
AAA Solutions,,Pakistan (PK),"Ladieswear, Men's wear",Rehan Majeed Khan,,"PLOT NO. 51, SECTOR-12/C, NORTH KARACHI INDUSTRIAL AREA,,, Karachi, 74600, Sindh",GCL-302247,,GCL International,5/7/2024,"Men's Apparel (PC0001) Pantscardigans (PD0004) 100% Organic Cotton (RM0104)cardigans (PD0004) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Sweaterspulloverspulloverssinglets (PD0007) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) Sweaterssinglets (PD0007) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) T shirtstrousers (PD0003) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) T shirtstrousers (PD0003) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Pants"
AAA Solutions,,Pakistan (PK),"Ladieswear, Men's wear",,,"Plot No. 51, Sector-12/C, North Karachi Industrial Area, Karachi Central North Karachi Town, Karachi, 74600, Sindh, PK-SD, Pakistan , PK, 74600, Sindh",GOTS-20200879,,GSCS,5/7/2024,PantsSweatersT-shirtscardigans (PD0004)pulloverssinglets (PD0007)trousers (PD0003)
"AAC TÊXTEIS, S.A.",,Portugal (PT),"Children's wear, Ladieswear, Men's wear",Leonor Gonçalves,mailto:leonor@aactexteis.pt,"Rua de Roederstein, Lote 4, 4760-774, Vilarinho das Cambas",CTV-920017,,CTV – Certificação de Têxteis e de Vestuário,11/22/2024,PantsT-shirtsblousescardigansdressespulloversshirtssingletesskirtssweaterstrousers
Aadhava Apparels,,"India (IN), Tamil Nadu","Accessories, Babywear, Ladieswear, Children's wear, Fabrics, Men's wear, Home Textiles, Yarns",,,"SF No:151/1B, No: 4/57, Thanchankadu, Near KCM Nagar, Karumapalayam Village,, Karukkampalayam Post,Avinashi Taluk,,, 641654, Tirupur",GCL-301860,,GCL International,8/10/2024,"Cushions (PD0023) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) PantsMen's Apparel (PC0001) T shirtsPouches (PD0024) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) Dressesbed sheets (PD0015) 100% Organic Cotton (RM0104)
Home Textiles (PC0010) Blanketsbedspreadsblouses (PD0005) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) Sweaterscardigans (PD0004) 100% Organic Cotton (RM0104)
Women's Apparel (PC0002) T shirtscardigans (PD0004) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) Sweaterscardigans (PD0004) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) T shirtscardigans (PD0004) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)
Children's Apparel (PC0004) T shirtshandbagspulloverspulloverspulloverspulloversquilts (PD0019) 100% Organic Cotton (RM0104)
Home Textiles (PC0010) Pillowsrobes (PD0006) 100% Organic Cotton (RM0104)
Children's Apparel (PC0004) Undergarmentrobes (PD0006) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Dressesrobes (PD0006) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)
Undyed fabrics (PC0027) Knitted Fabrics (PD0058) 100% Organic cotton (RM0104) 
Undyed fabrics (PC0027) Knitted Fabrics (PD0058) 95% Organic cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Unisex Apparel (PC0005) T-Shirtsrobes (PD0006) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Children's Apparel (PC0004) Sweaterssinglets (PD0007) 100% Organic Cotton (RM0104)
Babies Apparel (PC0003) Babies' accessoriesQ (PD0014) 100% Organic Cotton (RM0104) 
Babies Apparel (PC0003) Babies' clothing (PD0013) 100% Organic Cotton (RM0104) 
Babies Apparel (PC0003) Babies' clothing (PD0013) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)
Carried Accessories (PC0011) Bagssinglets (PD0007) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) T shirtssinglets (PD0007) 100% Organic Cotton (RM0104) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 97% Organic Cotton (RM0104) + 3% Elastane (Spandex) (RM0160) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 98% Organic Cotton (RM0104) + 2% Elastane
(Spandex) (RM0160) 
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 100% Organic Cotton (RM0104)
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Dyed Yarns (PC0029) Normally Combed Yarns (PD0102) 100% Organic Cotton (RM0104)
Greige fabrics (PC0026) Knitted Fabrics (PD0058) 90% Organic Cotton (RM0104) + 10% Elastane (Spandex) (RM0160) 
Printed fabrics (PC0039) Knitted fabrics (Cut panels) (PD0058) 100% Organic Cotton (RM0104) 
Dyed fabrics (PC0025) Knitted fabrics (Cut panels) (PD0058) 100% Organic Cotton (RM0104)
Greige fabrics (PC0026) Knitted Fabrics (PD0058) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Printed fabrics (PC0039) Knitted fabrics (Cut panels) (PD0058) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Dyed fabrics (PC0025) Knitted fabrics (Cut panels) (PD0058) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Men's Apparel (PC0001) T shirtssinglets (PD0007) 100% Organic Cotton (RM0104) 
Unisex Apparel (PC0005) T-Shirtssinglets (PD0007) 95% Organic Cotton (RM0104) + 5% Elastane
(Spandex) (RM0160) 
Men's Apparel (PC0001) Undergarmentsinglets (PD0007) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)
Women's Apparel (PC0002) Undergarmentsinglets (PD0007) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 100% Organic Cotton (RM0104)
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Greige Yarns (PC0030) Normally Combed Yarns (PD0102) 100% Organic Cotton (RM0104) 
Home Textiles (PC0010) Bed linensinglets (PD0007) 98% Organic Cotton (RM0104) + 2% Elastane (Spandex) (RM0160) 
Greige fabrics (PC0026) Knitted Fabrics (PD0058) 98% Organic Cotton (RM0104) + 2% Elastane (Spandex) (RM0160)
Greige fabrics (PC0026) Knitted Fabrics (PD0058) 100% Organic Cotton (RM0104)
Children's Apparel (PC0004) Suitsskirts (PD0011) 100% Organic Cotton (RM0104)
Women's Apparel (PC0002) Dressesskirts (PD0011) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) Pantsskirts (PD0011) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Pantssleepwearsleepwearsleepwearsleepwearsuit & pants (PD0002) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) Pantssuit & pants (PD0002) 98% Organic Cotton (RM0104) + 2% Elastane (Spandex) (RM0160)totestrousers (PD0003) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) Undergarmenttrousers (PD0003) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Pantstrousers (PD0003) 95% Organic Cotton (RM0104) + 5% Elastane
(Spandex) (RM0160) 
Men's Apparel (PC0001) Shirtstrousers (PD0003) 95% Organic Cotton (RM0104) + 5% Elastane
(Spandex) (RM0160) 
Women's Apparel (PC0002) Sweaterstrousers (PD0003) 98% Organic Cotton (RM0104) + 2% Elastane
(Spandex) (RM0160) 
Children's Apparel (PC0004) Suits"
